Code,Title,Is Replaced By,Removed In
PM_60_50_05,Bill of quantities,FI_50_10 Bill of quantities (BQ),2019-04
PM_60_50_28,Cost plan,FI_50_15 Cost plan (CP),2019-04
PM_60_50_40,Invoice,FI_50_40 Invoice (IV),2019-04
PM_60_50_64,Prime cost item,PM_60_20_64 Prime cost item,2018-08
PM_60_50_67,Provisional item,PM_60_20_67 Provisional item,2018-08
PM_60_60_77,Site security information,PM_60_10_77 Site security information,2018-08
PM_60_60_80,Site establishment information,PM_60_10_58 Site establishment information,2018-08
PM_70_15_01,Access control commissioning certificate,PM_70_80_01 Access control commissioning certificate,2021-04
PM_70_15_04,Audiovisual systems commissioning and acceptance certificate,PM_70_80_05 Audiovisual systems commissioning and acceptance certificate,2021-04
PM_70_15_10,Building management systems (BMS) commissioning certificate,PM_70_30_10 Building management systems (BMS) commissioning certificate,2021-04
PM_70_15_15,Closed-circuit television (CCTV) commissioning certificate,PM_70_30_15 Closed-circuit television (CCTV) commissioning certificate,2021-04
PM_70_15_22,Disabled alarms and disabled refuge alarm testing certificate,PM_70_30_22 Disabled alarms and disabled refuge alarm testing certificate,2021-04
PM_70_15_47,Lightning protection certificate,PM_70_30_47 Lightning protection certificate,2021-04
PM_70_15_78,Security and intruder alarm commissioning certificate,PM_70_30_78 Security and intruder alarm commissioning certificate,2021-04
PM_70_15_83,Sprinkler installation test certificate,PM_70_30_83 Sprinkler installation test certificate,2021-04
PM_70_15_92,Uninterruptible power supply (UPS) test certificate,PM_70_30_92 Uninterruptible power supply (UPS) test certificate,2021-04
PM_70_30_96,Wall ties and structural restraint inspection report,PM_70_70_96 Wall ties and structural restraint inspection report,2023-01
PM_70_75_32,Gas installation safety certificate,PM_70_15_34 Gas installation safety certificate,2020-04
PM_70_85_13,Building manual,PM_70_85_10 Building manual,2021-04
PM_70_95_12,Compliance and certification documents,PM_70_15 Compliance and certification documents,2020-04
PM_70_95_31,Fire safety acceptance certificate,PM_70_15_29 Fire safety acceptance certificate,2020-04
Pr_15_31_26_37,Highways Agency unbound mixtures Category B,Pr_15_31_26_18 Close-graded granular unbound mixtures,2018-04
Pr_15_31_26_38,Highways Agency unbound mixtures Type 1,Pr_15_31_26_96 Well graded granular unbound mixtures,2018-04
Pr_15_31_26_40,Highways Agency unbound mixtures Type 3,Pr_15_31_26_58 Open-graded granular unbound mixtures,2018-04
Pr_15_31_26_41,Highways Agency unbound mixtures Type 4,Pr_15_31_26_02 Asphalt arisings granular unbound mixtures,2018-04
Pr_15_57_30_10,Butyl rubber geomembranes,Pr_25_57_51_10 Butyl rubber (polyisobutylene isoprene (IIR)) geomembranes,2016-10
Pr_15_57_30_13,Chlorinated polyethylene (PE-C) geomembranes,Pr_25_57_51_13 Chlorinated polyethylene (PE-C) geomembranes,2016-10
Pr_15_57_30_14,Chlorosulfonated polyethylene (PE-CS) geomembranes,Pr_25_57_51_14 Chlorosulfonated polyethylene (PE-CS) geomembranes,2016-10
Pr_15_57_30_27,Ethylene propylene diene monomer (EPDM) geomembranes,Pr_25_57_51_27 Ethylene propylene diene monomer (EPDM) geomembranes,2016-10
Pr_15_57_30_33,Geocomposite membranes,Pr_15_57_27_33 Geocomposite sheets,2016-10
Pr_15_57_30_37,High density polyethylene (PE-HD) geomembranes,Pr_25_57_65_37 High-density polyethylene (PE-HD) sheets,2016-10
Pr_15_57_30_47,Low density polyethylene (PE-LD) geomembranes,Pr_25_57_65_47 Low-density polyethylene (PE-LD) sheets,2016-10
Pr_15_57_30_65,Plastics membranes,Pr_25_57_65 Plastics membranes,2016-10
Pr_15_57_30_71,Polypropylene membranes,Pr_25_57_65_65 Polypropylene sheets,2016-10
Pr_15_57_30_72,Polyvinyl chloride (PVC) geomembranes,Pr_25_57_65_92 Unplasticized polyvinyl chloride (PVC-U) sheets,2016-10
Pr_15_57_30_73,Polyvinylidene fluoride (PVDF) hydrophobic geomembranes,Pr_25_57_85_70 Polyvinylidene fluoride (PVDF) hydrophobic geotextiles,2016-10
Pr_15_57_33_30,Foamed aminoplastic resin moisture retention mats,Pr_25_57_53_30 Foamed aminoplastic resin moisture retention mats,2016-10
Pr_15_57_33_33,Geocomposite drainage sheets,Pr_15_57_27_33 Geocomposite sheets,2016-10
Pr_15_57_33_34,Geocomposite gas venting layer,Pr_15_57_27_33 Geocomposite sheets,2016-10
Pr_15_57_33_36,Geocomposite studded sheet,Pr_15_57_27_36 Geocomposite studded sheets,2016-10
Pr_15_57_33_39,Geosynthetic clay liners (GCLs),Pr_15_57_27_39 Geosynthetic clay liners (GCLs),2016-10
Pr_15_57_33_60,Plastics geocomposite sheets,Pr_15_57_27_60 Plastics geocomposite sheets,2016-10
Pr_15_57_33_61,Plastics geocell boards,Pr_15_57_25_32 Geocell boards,2016-10
Pr_15_57_33_62,Plastics geocell sheets,Pr_15_57_25_33 Geocell sheets,2016-10
Pr_15_57_33_63,Plastics geocellular drainage mats,Pr_15_57_25 Geocells,2016-10
Pr_15_57_33_70,Polypropylene geocells,"Pr_15_57_25_74 Polypropylene geocell boards
Pr_15_57_25_75 Polypropylene geocell sheets",2016-10
Pr_15_57_33_74,Polyester geocells,Pr_15_57_25_70 Polyester strips,2016-10
Pr_15_57_33_77,Polyethylene geocells,"Pr_15_57_25_39 High-density polyethylene (PE-HD) geocell boards
Pr_15_57_25_40 High-density polyethylene (PE-HD) geocell sheets",2016-10
Pr_15_57_35_07,Biodegradable flax geotextiles,Pr_25_57_61_29 Flax geotextiles,2016-10
Pr_15_57_35_08,Bituminous felt geotextiles,Pr_25_57_08_08 Bitumen sheets,2016-10
Pr_15_57_35_34,Glass fibre tissue geotextiles,Pr_25_57_51_33 Glass fibre fleeces,2016-10
Pr_15_57_35_44,Jute geotextiles,Pr_25_57_61_44 Jute geotextiles,2016-10
Pr_15_57_35_50,Mineral wool water retention geotextiles,Pr_25_57_53_50 Mineral wool water retention geotextiles,2016-10
Pr_15_57_35_62,Polyacrylonitrile (PAN) water retention geotextiles,Pr_25_57_53_62 Polyacrylonitrile (PAN) water retention geotextiles,2016-10
Pr_15_57_35_63,Polyamide water retention geotextiles,Pr_25_57_53_63 Polyamide water retention geotextiles,2016-10
Pr_15_57_35_64,Polypropylene filter geotextiles,Pr_25_57_85_68 Polypropylene filter geotextiles,2016-10
Pr_15_57_35_65,Polypropylene water retention geotextiles,Pr_25_57_53_65 Polypropylene water retention geotextiles,2016-10
Pr_15_57_35_66,Polyester filter geotextiles,Pr_25_57_85_64 Polyester filter geotextiles,2016-10
Pr_15_57_35_67,Polyethylene filter geotextiles,Pr_25_57_85_66 Polyethylene filter geotextiles,2016-10
Pr_15_57_35_68,Polyvinylidene fluoride (PVDF) hydrophobic geotextiles,Pr_25_57_85_70 Polyvinylidene fluoride (PVDF) hydrophobic geotextiles,2016-10
Pr_20_29_03_20,Conductor rail anchors,Pr_65_70_16_10 Conductor rail anchors,2018-01
Pr_20_29_03_78,Solar module roof anchors,Pr_80_77_27_72 Roof anchors for solar modules,2023-01
Pr_20_29_57_02,Aerotite nuts,Pr_20_29_57_75 Self-locking nuts,2022-01
Pr_20_29_57_84,Stover nuts,Pr_20_29_57_75 Self-locking nuts,2022-01
Pr_20_29_60_70,Rail packing shims,Pr_20_85_74_70 Rail packing shims,2018-01
Pr_20_29_70_29,Fang spikes,Pr_20_85_70_24 Driven spikes,2018-10
Pr_20_29_70_30,Ferrules and bushes,Pr_20_85_70_30 Ferrules and bushes,2019-01
Pr_20_29_70_71,Rail spikes,Pr_20_85_70 Rail supports and fixings,2018-01
Pr_20_29_70_76,Screw spikes,Pr_20_85_70_76 Screw spikes,2018-01
Pr_20_29_70_80,Slabtracks,Ss_80_70_70_56 Non-embedded slab track rail systems,2018-01
Pr_20_29_70_82,Spring spikes,Pr_20_85_70_82 Spring spikes,2018-01
Pr_20_29_96,Welded joints,Pr_20_29 Fastener products,2022-01
Pr_20_29_96_03,Aluminothermic rail welds,TE_70_20_10_03 Aluminothermic rail welding equipment,2022-01
Pr_20_31_02_33,Gilding size,Pr_35_31_85_36 Gilding size,2018-01
Pr_20_31_02_83,Solvent welding cements,Pr_65_52_62_82 Solvent welding cements,2018-01
Pr_20_31_12_59,Oyster shells,Pr_20_31_04_59 Oyster shells,2017-01
Pr_20_31_35_11,Carborundum,Pr_20_31_35_78 Silicon carbide powder,2022-01
Pr_20_76_08_20,Cone fenders,Pr_40_70_55_20 Cone fenders,2019-04
Pr_20_76_70_18,Crane rails,Pr_20_76_70_34 Grooved rails,2018-01
Pr_20_76_70_86,Switch and crossing rails,Pr_20_76_71 Railway junction works,2018-01
Pr_20_76_70_94,Vignole rails,Pr_20_76_70_30 Flat bottom rails,2018-01
Pr_20_76_71_30,Fixed rail crossings,Pr_20_76_71 Railway junction works,2018-01
Pr_20_76_71_70,Rail diamonds,Pr_20_76_71_23 Diamond crossings,2018-01
Pr_20_76_71_72,Rail scissors,Pr_20_76_71_76 Scissor crossovers,2018-01
Pr_20_76_71_73,Rail slips,"Pr_20_76_71_24 Double slips
Pr_20_76_71_78 Single slips",2018-01
Pr_20_76_71_74,Rail traps,Pr_20_76_71_90 Trap switches,2018-01
Pr_20_76_71_75,Rail turnouts,Pr_20_76_71_91 Turnouts,2018-01
Pr_20_76_88_35,Hardwood floating floor battens,Pr_20_76_88_47 Insulating timber floor battens,2022-01
Pr_20_85_03_85,Stainless steel cladding angles,Pr_20_85_20_84 Stainless steel cladding angles,2022-01
Pr_20_85_07_04,Aluminium carrier rails,Pr_20_85_20_04 Aluminium carrier rails,2022-01
Pr_20_85_07_10,Carbon steel carrier rails,Pr_20_85_20_10 Carbon steel carrier rails,2022-01
Pr_20_85_07_83,Stainless steel carrier rails,Pr_20_85_20_83 Stainless steel carrier rails,2022-01
Pr_20_85_69,Rail buffer stops,Pr_20_85_89 Train arrestors,2018-01
Pr_20_85_69_30,Fixed buffer stops,Pr_20_85_89_30 Fixed train arrestors,2018-01
Pr_20_85_69_31,Friction buffer stops,Pr_20_85_89_31 Friction train arrestors,2018-01
Pr_20_85_69_39,Hydraulic buffer stops,Pr_20_85_89_39 Hydraulic train arrestors,2018-01
Pr_20_85_70_02,Adjustable rail clips,Pr_20_29_70_02 Adjustable rail clips,2018-01
Pr_20_85_70_06,Ballast mats,Pr_20_85_88_06 Ballast mats,2018-01
Pr_20_85_70_15,Composite insulators,Pr_65_70_16_08 Composite insulators,2018-01
Pr_20_85_70_17,Concrete track beds,Pr_20_85_88_17 Concrete track beds,2018-01
Pr_20_85_70_27,Ethyl vinyl acetate rail pads,Pr_20_85_74_27 Ethyl vinyl acetate rail pads,2018-01
Pr_20_85_70_34,Glass reinforced nylon insulators,Pr_65_70_16_34 Glass fibre-reinforced nylon insulators,2018-01
Pr_20_85_70_41,Insulated third rail supports,Pr_65_70_16_20 Conductor rail supports,2018-01
Pr_20_85_70_57,Nylon insulators,Pr_65_70_16_57 Nylon insulators,2018-01
Pr_20_85_70_73,Rubber bonded cork rail pads,Pr_20_85_74_78 Rubber bonded cork rail pads,2018-01
Pr_20_85_70_75,Rubber rail pads,Pr_20_85_74_79 Rubber rail pads,2018-01
Pr_20_85_70_77,Switch and crossing baseplates,Pr_20_85_70_44 Junction work baseplates,2018-01
Pr_20_85_70_89,Third rail cover boards,Pr_65_70_16_12 Conductor rail cover boards,2018-01
Pr_20_85_70_96,Weldable rail clips,Pr_20_29_70_96 Weldable rail clip shoulders,2018-01
Pr_20_85_72_06,Baseplate pads,Pr_20_85_74_73 Resilient baseplate pads,2018-01
Pr_20_85_72_11,Carbon steel sleepers,Pr_20_85_72_85 Steel sleepers,2018-01
Pr_20_85_72_36,Hardwood sleepers,Pr_20_85_72_89 Timber sleepers,2018-01
Pr_20_85_72_70,Rail pads,Pr_20_85_74_71 Rail pads,2018-01
Pr_20_85_72_82,Sleeper pads,Pr_20_85_74_76 Resilient sleeper pads,2018-01
Pr_20_85_84_85,Stainless steel cladding channels,Pr_20_85_20_85 Stainless steel cladding channels,2022-01
Pr_20_85_84_86,Stainless steel cladding ties,Pr_20_85_20_86 Stainless steel cladding ties,2022-01
Pr_20_85_86_39,Hydraulic jacks,TE_30_70_40_39 Hydraulic jacks,2018-01
Pr_20_93_52_74,Replacement natural dimensioned stones,Pr_20_93_52_56 Natural dimensioned stones,2022-01
Pr_20_93_84_84,Structural insulated roof panels,Pr_20_93_85 Structural units,2020-07
Pr_20_93_85_84,Structural insulated wall panels,Pr_20_93_85_90 Timber structural insulated panels (SIPs),2020-07
Pr_20_96_71_65,Polypropylene (PP) fibre reinforcement,Pr_20_96_71_28 Fibre-reinforced plastics bar reinforcement,2017-01
Pr_25_31_28_63,Phenolic foam insulation,Pr_80_77_76_62 Phenolic foam insulation,2016-10
Pr_25_57_06_51,Mineral wool fibre insulation,Pr_25_31_48_48 Loose-fill mineral wool fibre insulation,2019-10
Pr_25_57_08_09,Bitumen sheet root barriers,Pr_25_57_08_08 Bitumen sheets,2016-10
Pr_25_57_08_50,Modified acrylic fabric,Pr_25_57_51_54 Modified acrylic fabric,2016-10
Pr_25_57_08_70,Reinforced bitumen membrane underlayer,Pr_25_57_08_75 Reinforced bitumen roofing sheets,2016-10
Pr_25_57_08_72,Reinforced bitumen membrane underlay,Pr_25_57_08_75 Reinforced bitumen roofing sheets,2016-10
Pr_25_57_08_73,Reinforced bitumen membrane slip planes,Pr_25_57_08_75 Reinforced bitumen roofing sheets,2016-10
Pr_25_57_08_74,Reinforced bitumen membrane vapour control layer,Pr_25_57_08_75 Reinforced bitumen roofing sheets,2016-10
Pr_25_57_08_76,Reinforced membrane capsheets,Pr_25_57_08_75 Reinforced bitumen roofing sheets,2016-10
Pr_25_57_08_80,Self adhesive bitumen sheets,Pr_25_57_08_75 Reinforced bitumen roofing sheets,2016-10
Pr_25_57_08_82,Sheathing felt,Pr_25_57_08_75 Reinforced bitumen roofing sheets,2016-10
Pr_25_57_51_03,Aramid tensile fabrics,Pr_25_57_90_03 Aramid tensile fabrics,2016-10
Pr_25_57_51_09,Building papers,Pr_25_57_10_09 Building papers,2016-10
Pr_25_57_51_11,Carborundum slip-resistant paper,Pr_25_57_51_77 Silicon carbide slip-resistant paper,2022-01
Pr_25_57_51_12,Cellulose fibre breather membranes,Pr_25_57_10_12 Cellulose based building papers,2016-10
Pr_25_57_51_15,Cotton canvas tensile fabrics,Pr_25_57_90_15 Cotton canvas tensile fabrics,2016-10
Pr_25_57_51_29,Fabrics for tensile applications,Pr_25_57_90_29 Fabrics for tensile applications,2016-10
Pr_25_57_51_34,Glass fibre tensile fabrics,Pr_25_57_90_34 Glass fibre tensile fabrics,2016-10
Pr_25_57_51_37,High-density polyethylene (PE-HD) vapour barriers,Pr_25_57_65_37 High-density polyethylene (PE-HD) sheets,2016-10
Pr_25_57_51_48,Low-density polyethylene (PE-LD) vapour barriers,Pr_25_57_65_47 Low-density polyethylene (PE-LD) sheets,2016-10
Pr_25_57_51_58,Pitch polymer membranes,Pr_25_57_08_58 Pitch polymer membranes,2016-10
Pr_25_57_51_62,Plastics sheets,Pr_25_57_65_60 Plastics sheets,2016-10
Pr_25_57_51_63,Polyvinyl chloride (unplasticized) (PVC-U) sheet,Pr_25_57_65_92 Unplasticized polyvinyl chloride (PVC-U) sheets,2016-10
Pr_25_57_51_64,Polyester (PET) tensile fabrics,Pr_25_57_90_63 Polyester tensile fabrics,2016-10
Pr_25_57_51_65,Polyethylene (PE) sheets,Pr_25_57_65_63 Polyethylene sheets,2016-10
Pr_25_57_51_67,Polypropylene (PP) breather membranes,Pr_25_57_10_66 Polypropylene vapour-permeable sheets,2016-10
Pr_25_57_51_69,Polytetrafluoroethylene (PTFE) tensile fabrics,Pr_25_57_90_67 Polytetrafluoroethylene (PTFE) tensile fabrics,2016-10
Pr_25_57_51_71,Reinforced bitumen membrane perforated underlays,Pr_25_57_08_71 Reinforced bitumen membrane perforated underlays,2016-10
Pr_25_57_51_81,Solar glass weave tensile fabric,Pr_25_57_90_81 Solar glass weave tensile fabrics,2016-10
Pr_25_57_51_84,Stretch fabric membranes,Pr_25_57_90_84 Stretch fabric membranes,2016-10
Pr_25_57_51_85,Suspended fabric panels,Pr_25_57_90_85 Suspended fabric panels,2016-10
Pr_25_57_51_94,Vapour permeable sheets,Pr_25_57_10_94 Vapour-permeable sheets,2016-10
Pr_25_57_56_96,Wire netting,Pr_25_57_56_37 Hexagon mesh,2023-04
Pr_25_57_61_02,Acrylonitrile butadiene styrene (ABS) studded membranes,Pr_25_57_51_02 Acrylonitrile butadiene styrene (ABS) studded membranes,2016-10
Pr_25_57_61_11,Capillary fleece,Pr_25_57_85_10 Capillary fleece,2016-10
Pr_25_57_61_36,High-density polyethylene (PE-HD) studded sheets,Pr_25_57_51_36 High-density polyethylene (PE-HD) studded sheets,2016-10
Pr_25_57_61_60,Polyamide plastics sheets,Pr_25_57_53_63 Polyamide water retention geotextiles,2016-10
Pr_25_57_61_61,Polyester fabric (coated),Pr_25_57_51_16 Coated polyester fabrics,2016-10
Pr_25_57_61_62,Polyester fibre fleece,Pr_25_57_85_62 Polyester fibre fleece,2016-10
Pr_25_57_61_63,Polyester tensile fabrics,Pr_25_57_90_63 Polyester tensile fabrics,2016-10
Pr_25_57_61_64,Polyethylene breather membranes,"Pr_25_57_10_37 High-density polyethylene (PE-HD) vapour-permeable sheets
Pr_25_57_10_47 Low-density polyethylene (PE-LD) vapour-permeable sheets",2016-10
Pr_25_57_61_65,Polyethylene composite gas retardant sheets,Pr_25_57_65_63 Polyethylene sheets,2016-10
Pr_25_57_61_66,Polyethylene sheets,Pr_25_57_65_63 Polyethylene sheets,2016-10
Pr_25_57_61_67,Polyethylene sheet root barriers,Pr_25_57_65_63 Polyethylene sheets,2016-10
Pr_25_57_61_68,Polyolefin breather membranes,Pr_25_57_10_64 Polyolefin vapour-permeable sheets,2016-10
Pr_25_57_61_69,Polypropylene (PP) studded sheets,Pr_25_57_51_68 Polypropylene (PP) studded sheets,2016-10
Pr_25_57_61_71,Root barrier membrane,Pr_25_57_65 Plastics membranes,2016-10
Pr_25_57_61_73,Rubber studded membranes (ABS),Pr_25_57_51_74 Rubber studded sheets,2016-10
Pr_25_57_61_74,Rubber studded sheets,Pr_25_57_51_74 Rubber studded sheets,2016-10
Pr_25_57_63,Polymeric roofing membranes,Pr_25_57_51_66 Polymeric membranes,2016-10
Pr_25_57_63_28,Expanded polytetrafluoroethylene (ePTFE) tensile fabric,Pr_25_57_90_67 Polytetrafluoroethylene (PTFE) tensile fabrics,2016-10
Pr_25_57_63_62,Polymeric membrane,Pr_25_57_51_66 Polymeric membranes,2016-10
Pr_25_57_63_63,Polypropylene breather membranes,Pr_25_57_10_66 Polypropylene vapour-permeable sheets,2016-10
Pr_25_57_63_64,Polypropylene studded sheets,Pr_25_57_51_68 Polypropylene (PP) studded sheets,2016-10
Pr_25_57_63_66,Polytetrafluoroethylene (PTFE) tensile fabrics,Pr_25_57_90_67 Polytetrafluoroethylene (PTFE) tensile fabrics,2016-10
Pr_25_57_65_69,Polyvinyl chloride (PVC) sheets,Pr_35_57_71_67 Polyvinyl chloride (PVC) sheets,2018-01
Pr_25_71_14_06,Aluminium composite panels,Pr_25_71_14_04 Aluminium insulating sandwich panels,2020-04
Pr_25_71_14_08,Aluminium infill panels,Pr_25_71_42_08 Aluminium infill panels,2020-04
Pr_25_71_14_11,Carbon steel composite panels,Pr_25_71_14_22 Carbon steel insulating sandwich panels,2020-04
Pr_25_71_14_13,Carbon steel infill panels,Pr_25_71_42_10 Carbon steel infill panels,2020-04
Pr_25_71_14_18,Composite and recycled plastics sheets,Pr_25_71_63_18 Composite and recycled plastics sheets,2020-04
Pr_25_71_14_30,Fibre cement panels,Pr_25_71_52 Mineral-based boards and sheets,2020-04
Pr_25_71_14_34,Glass-reinforced plastics (GRP) panels,Pr_25_71_63_32 Glass fibre-reinforced plastics (GRP) panels,2020-04
Pr_25_71_14_83,Stainless steel composite panels,Pr_25_71_14_87 Stainless steel insulating sandwich panels,2020-04
Pr_25_71_14_85,Stainless steel infill panels,Pr_25_71_42_85 Stainless steel infill panels,2020-04
Pr_25_71_29_48,Loadbearing thermal break units,Pr_20_93_52_48 Loadbearing thermal break units,2023-07
Pr_25_71_33_77,Sealed insulated glass units,Pr_25_71_33_42 Insulated glass units (IGUs),2021-07
Pr_25_71_42_60,Panel diffuser infill panels,Pr_35_93_13_61 Panel diffuser infill units,2021-07
Pr_25_71_50_06,Baseboards,Pr_25_71_50_52 Metal baseboards,2021-01
Pr_25_71_51_82,"Stainless steel sheets, strips and plates for construction","Pr_20_76_51_83 Stainless steel sheet, strip and plate for construction",2019-01
Pr_25_71_51_83,"Stainless steel sheets, strips and plates for general purpose","Pr_20_76_51_84 Stainless steel sheet, strip and plate for general purposes",2019-01
Pr_25_71_52_11,Carbon-neutral gypsum plasterboards,Pr_25_71_35_11 Carbon-neutral gypsum plasterboards,2021-04
Pr_25_71_52_12,Carbon steel-faced plasterboard panels,Pr_25_71_35_12 Carbon steel-faced plasterboard panels,2021-04
Pr_25_71_52_20,Fibre-reinforced cement deck boards,Pr_25_71_11_20 Fibre-reinforced cement deck boards,2021-04
Pr_25_71_52_21,Enhanced strength gypsum plasterboards,Pr_25_71_35_21 Enhanced strength gypsum plasterboards,2021-04
Pr_25_71_52_23,Fibre-reinforced calcium silicate boards,Pr_25_71_80_23 Fibre-reinforced calcium silicate boards,2021-04
Pr_25_71_52_24,Fibre-reinforced calcium silicate fire protection boards,Pr_25_71_80_24 Fibre-reinforced calcium silicate fire protection boards,2021-04
Pr_25_71_52_25,Fibre-reinforced cement boards,Pr_25_71_11_25 Fibre-reinforced cement boards,2021-04
Pr_25_71_52_26,Fibre-reinforced cement profiled sheets,Pr_25_71_11_27 Fibre-reinforced cement profiled sheets,2021-04
Pr_25_71_52_27,Fibre-reinforced cement sheets,Pr_25_71_11_29 Fibre-reinforced cement sheets,2021-04
Pr_25_71_52_28,Fibre-reinforced cement weatherboards,Pr_25_71_11_31 Fibre-reinforced cement weatherboards,2021-04
Pr_25_71_52_29,Fibre-reinforced gypsum boards,Pr_25_71_35_29 Fibre-reinforced gypsum boards,2021-04
Pr_25_71_52_30,Fibre-reinforced gypsum floor boards,Pr_25_71_35_30 Fibre-reinforced gypsum floor boards,2021-04
Pr_25_71_52_31,Fibre-reinforced magnesium silicate boards,Pr_25_71_80_31 Fibre-reinforced magnesium silicate boards,2021-04
Pr_25_71_52_32,Flexible plasterboards,Pr_25_71_35_32 Flexible plasterboards,2021-04
Pr_25_71_52_33,Fire-resistant gypsum plasterboards,Pr_25_71_35_33 Fire-resistant gypsum plasterboards,2021-04
Pr_25_71_52_34,Gypsum baseboards,Pr_25_71_35_06 Gypsum baseboards,2021-04
Pr_25_71_52_35,Gypsum core boards,Pr_25_71_35_15 Gypsum core boards,2021-04
Pr_25_71_52_36,Gypsum planks,Pr_25_71_35_61 Gypsum planks,2021-04
Pr_25_71_52_37,"Gypsum plasterboards, type A",Pr_25_71_35_84 Standard gypsum plasterboards,2021-04
Pr_25_71_52_38,Gypsum plasterboards,Pr_25_71_35_65 Gypsum plasterboards,2021-04
Pr_25_71_52_39,Gypsum plasterboard with combined properties,Pr_25_71_35_67 Gypsum plasterboard with combined properties,2021-04
Pr_25_71_52_40,Gypsum sheathing plasterboards,Pr_25_71_35_77 Gypsum sheathing plasterboards,2021-04
Pr_25_71_52_41,Impact-resistant gypsum plasterboards,Pr_25_71_35_42 Impact-resistant gypsum plasterboards,2021-04
Pr_25_71_52_42,High-density gypsum plasterboards,Pr_25_71_35_37 High-density gypsum plasterboards,2021-04
Pr_25_71_52_47,Linoleum composite laminate strips and boards,Pr_35_57_71_47 Linoleum composite laminate strips and boards,2021-04
Pr_25_71_52_52,Moisture-resistant gypsum plasterboards,Pr_25_71_35_52 Moisture-resistant gypsum plasterboards,2021-04
Pr_25_71_52_63,Plasterboard panels,Pr_25_71_35_63 Plasterboard panels,2021-04
Pr_25_71_52_80,Sound insulation gypsum plasterboards,Pr_25_71_35_80 Sound insulation gypsum plasterboards,2021-04
Pr_25_71_52_84,Standard gypsum plasterboards,Pr_25_71_35_84 Standard gypsum plasterboards,2021-04
Pr_25_71_52_88,Thermal laminate gypsum plasterboards,Pr_25_71_35_88 Thermal laminate gypsum plasterboards,2021-04
Pr_25_71_52_94,Vapour check gypsum plasterboards,Pr_25_71_35_94 Vapour check gypsum plasterboards,2021-04
Pr_25_71_52_95,Vermiculite-silicate fire protection boards,Pr_25_71_80_95 Vermiculite-silicate fire protection boards,2021-04
Pr_25_71_52_99,X-ray-resistant gypsum plasterboards,Pr_25_71_35_99 X-ray-resistant gypsum plasterboards,2021-04
Pr_25_71_53_06,Bathroom mirrors,Pr_40_30_53_06 Bathroom mirrors,2022-01
Pr_25_71_53_14,Cheval mirrors,Pr_40_30_53_14 Cheval mirrors,2022-01
Pr_25_71_53_23,Dressing glasses,Pr_40_30_53_23 Dressing glasses,2022-01
Pr_25_71_53_30,Framed glass mirrors,Pr_40_30_53_30 Framed glass mirrors,2022-01
Pr_25_71_53_31,Framed metal mirrors,Pr_40_30_53_31 Framed metal mirrors,2022-01
Pr_25_71_53_32,Framed plastics mirrors,Pr_40_30_53_32 Framed plastics mirrors,2022-01
Pr_25_71_53_46,Large mirrors,Pr_40_30_53_30 Framed glass mirrors,2022-01
Pr_25_71_53_59,Overmantel mirrors,Pr_40_30_53_59 Overmantel mirrors,2022-01
Pr_25_71_53_65,Platform mirrors,Pr_40_30_53_65 Platform mirrors,2022-01
Pr_25_71_53_70,Rail mirrors,Pr_40_30_53_70 Rail mirrors,2022-01
Pr_25_71_53_73,Road mirrors,Pr_40_30_53_73 Road mirrors,2022-01
Pr_25_71_53_82,Small mirrors,Pr_40_30_53 Mirrors,2022-01
Pr_25_71_53_96,Wall mirrors,Pr_40_30_53_96 Wall mirrors,2022-01
Pr_25_71_57_66,Polymer based boards,Pr_25_71_63 Plastics-based boards and sheets,2020-01
Pr_25_71_57_67,Polymer based panels,Pr_25_71_63 Plastics-based boards and sheets,2020-01
Pr_25_71_63_62,Plastics composite and recycled sheets,Pr_25_71_63_18 Composite and recycled plastics sheets,2022-01
Pr_25_71_63_94,Unplasticized polyvinyl chloride (PVC-U) sheets,Pr_25_57_65_92 Unplasticized polyvinyl chloride (PVC-U) sheets,2021-07
Pr_25_71_90,Tunnel- and shaft-lining products,"Pr_20_93_76 Shaft-lining products
Pr_20_93_90 Tunnel-lining products",2017-04
Pr_25_71_90_11,Carbon steel tunnel- and shaft-lining segments,"Pr_20_93_76_11 Carbon steel shaft-lining segments
Pr_20_93_90_11 Carbon steel tunnel-lining segments",2017-04
Pr_25_71_90_12,Cast iron tunnel- and shaft-lining segments,"Pr_20_93_76_12 Cast iron shaft-lining segments
Pr_20_93_90_12 Cast iron tunnel-lining segments",2017-04
Pr_25_71_90_15,Concrete tunnel- and shaft-lining segments,"Pr_20_93_76_15 Concrete shaft-lining segments
Pr_20_93_90_15 Concrete tunnel-lining segments",2017-04
Pr_25_71_90_80,Spheroidal graphite iron (SGI) tunnel- and shaft-lining segments,"Pr_20_93_76_80 Spheroidal graphite iron (SGI) shaft-lining segments
Pr_20_93_90_80 Spheroidal graphite iron (SGI) tunnel-lining segments",2017-04
Pr_25_71_97_21,Decorative laminated papers,Pr_35_57_22_21 Decorative laminated papers,2021-07
Pr_25_93_45_70,Road kerbs,Pr_25_93_45 Kerb units,2020-04
Pr_25_93_50_02,Aluminium capping units,Pr_25_93_54_02 Aluminium capping units,2018-01
Pr_25_93_50_03,Aluminium coping units,Pr_25_93_54_03 Aluminium coping units,2018-01
Pr_25_93_60_05,Asphalt kerbs,Pr_25_93_45_05 Asphalt kerbs,2018-08
