Code,Title,Is Replaced By,Removed In
Co_80_70_46,Lake passenger terminals,En_80_70_46 Lake passenger terminals,2018-08
Co_80_70_50,Marinas,En_80_70_50 Marinas,2018-08
Co_80_70_70,River ferry complexes,Co_80_70_96 Waterway ferry complexes,2019-10
Co_80_70_71,River passenger terminals,En_80_70_71 River passenger terminals,2018-08
Co_90_50_24,Dry waste storage complexes,Co_50_80_24 Dry waste storage complexes,2021-01
Co_90_50_34,Gas storage complexes,Co_55_05_34 Gas storage complexes,2021-01
Co_90_50_45,Liquid fuel storage complexes,Co_55_10_45 Liquid fuel storage complexes,2021-01
Co_90_50_95,Wastewater storage complexes,En_50_75_96 Wastewater storage entities,2021-01
Co_90_50_96,Water storage complexes,"En_55_15_80 Raw water storage entities
En_55_70_89 Treated water storage entities",2021-01
EF_15_15,Construction sites,En_90_30_15 Construction sites,2020-10
EF_15_95,Work areas,En_90_30_95 Work areas,2020-10
EF_20_20,Beams,Ss_20_20_75 Structural beam systems,2019-07
EF_20_30,Columns,Ss_20_30_75 Structural column systems,2019-07
EF_25_60,Dams and levees,En_32_85 Water control and retaining entities,2016-04
EF_30_70,Bridge decks,EF_20_50_10 Bridge decks,2021-07
EF_45_10,Planted elements,"EF_45_90 Tree, shrub and herbaceous plant elements",2020-10
EF_45_30,Fauna elements,EF_45_45 Land fauna elements,2020-10
EF_45_75,Fish and eel pass elements,EF_45_03 Aquatic fauna elements,2020-10
EF_70_30_25,Extra-high-voltage electricity distribution,EF_70_20_88 Transmission circuit,2023-10
En_25_05_04,Artworks,En_25_50_04 Art installations,2017-01
En_25_05_94,Viewpoints,SL_25_50_94 Viewing spaces,2017-01
En_30_10_58,Offshore oil and gas extraction pipelines,"En_55_05_38 Gas extraction pipelines
En_55_10_58 Fuel treatment pipelines",2017-01
En_30_10_59,Onshore oil and gas extraction structures,"En_55_05_30 Gas extraction structures
En_55_10_10 Oil extraction structures",2017-01
En_30_10_60,Onshore oil and gas extraction pipelines,"En_55_05_38 Gas extraction pipelines
En_55_10_58 Fuel treatment pipelines",2017-01
En_30_70_33,Gantries,En_30_70_28 Equipment gantries,2018-01
En_32_35_12,Botanical gardens,Co_25_30_08 Botanical gardens,2020-01
En_32_85_21,Dams,En_32_15 Dam entities,2022-07
En_32_85_37,High ground,En_32_40_37 High ground,2021-04
En_32_85_70,Reservoirs,Co_32_85_70 Reservoirs,2017-04
En_32_85_88,Tidal barriers,Co_32_85_88 Tidal barriers,2017-04
En_32_95_90,Trenches,En_32_40_90 Trenches,2017-01
En_35_85_85,Stable yards,SL_35_85_84 Stable yards,2017-01
En_50_30_85,Surface water collection pipelines,En_50_35_98 Wastewater collection pipelines,2021-01
En_50_30_98,Wastewater collection pipelines,En_50_35_98 Wastewater collection pipelines,2021-01
En_50_30_99,Waste water collection structures,En_50_35 Wastewater collection entities,2021-01
En_50_35_15,Combined wastewater collection pipelines,En_50_35_98 Wastewater collection pipelines,2023-01
En_50_35_83,Storm water pumping stations,En_50_35 Wastewater collection entities,2023-01
En_50_35_85,Surface water collection pipelines,En_50_35_98 Wastewater collection pipelines,2023-01
En_50_35_87,Surface water pumping stations,En_50_35 Wastewater collection entities,2023-01
En_50_35_99,Wastewater rising mains,En_50_35 Wastewater collection entities,2023-01
En_50_75_15,Wastewater entities,En_50_75_95 Wastewater treatment entities,2021-01
En_50_75_20,Dewatering hubs,"En_50_75 Wastewater storage, treatment and disposal entities",2023-01
En_50_75_26,Effluent tanks,"En_50_75 Wastewater storage, treatment and disposal entities",2023-01
En_50_75_40,Wastewater treatment buildings,En_50_75_95 Wastewater treatment entities,2021-01
En_50_75_42,Inter-stage effluent pumping stations,En_50_75_30 Effluent transfer and disposal pumping stations,2023-01
En_50_75_45,Wastewater treatment entities,En_50_75_95 Wastewater treatment entities,2021-01
En_50_75_70,Wastewater disposal buildings,En_50_75_95 Wastewater treatment entities,2021-01
En_50_75_93,Wastewater pumping stations,En_50_35_93 Wastewater collection pumping stations,2021-04
En_50_75_97,Wastewater treatment lagoons,"En_50_75 Wastewater storage, treatment and disposal entities",2023-01
En_50_90,Radioactive waste disposal entities,En_30_20 Nuclear and chemical management entities,2016-10
En_55_10_18,Fuel extraction pipelines,En_55_10_10 Oil extraction structures,2017-01
En_55_15_10,Water extraction buildings,En_55_15_50 Raw water treatment entities,2021-01
En_55_15_15,Water extraction tanks,En_55_15_80 Raw water storage entities,2021-01
En_55_15_20,Water extraction pipelines,En_55_15_72 Raw water pipelines,2021-01
En_55_15_55,Water treatment tanks,En_55_15_80 Raw water storage entities,2023-01
En_55_70_10,Water distribution buildings,En_55_70_89 Treated water storage entities,2021-01
En_55_70_18,Water distribution pipelines,En_55_70_85 Treated water pipelines,2021-01
En_55_70_91,Treated water towers,En_55_70_89 Treated water storage entities,2023-01
En_70_30_05,Autotransformer feeder stations,En_70_20_05 Autotransformer feeder stations,2023-10
En_70_30_18,Electricity transmission pylons and lines,En_70_20_27 Electricity transmission towers,2023-10
En_70_30_28,Extra-high-voltage transmission substations,"En_70_20_02 Air-insulated transmission substations
En_70_20_33 Gas-insulated transmission substations",2023-10
En_70_30_90,Underground electricity transmission lines,En_70_20_90 Underground electricity transmission lines,2023-10
En_80_35_10,Bus station buildings,En_80_35_09 Bus and coach stations,2018-08
En_80_35_44,Junctions,SL_80_35_44 Junctions,2018-01
En_80_35_73,Rail freight entities,En_80_90_66 Rail freight entities,2019-10
En_80_50_24,Double sided platforms,SL_80_50_24 Double-sided platforms,2018-08
En_80_50_66,Road freight depots,En_80_90_73 Road freight depots,2019-10
En_80_50_70,Rack railways track entities,En_80_50_62 Rack railways track entities,2018-08
En_80_50_76,Railway sidings,SL_80_50_76 Railway sidings,2021-04
En_80_50_77,Railway track entities,En_80_50_71 Railway corridors,2018-08
En_80_50_80,Single sided platforms,SL_80_50_80 Single-sided platforms,2018-08
En_80_60,Rail maintenance entities,En_80_50 Railway entities,2018-08
En_80_60_70,Rack rail maintenance buildings,En_80_50_60 Rack rail maintenance buildings,2018-08
En_80_60_95,Wagon decontamination buildings,En_80_50_95 Wagon decontamination buildings,2018-08
En_80_60_97,Wagon maintenance buildings,En_80_50_97 Wagon maintenance buildings,2018-08
En_80_96_21,Drift tunnel portals,SL_80_96_20 Drift tunnel portals,2018-01
En_90_50_10,Dry waste storage structures,En_50_40_11 Dry waste storage structures,2020-07
En_90_50_11,Dry waste storage yards,En_50_40_12 Dry waste storage yards,2020-07
En_90_50_40,Gas storage tanks,En_55_05_40 Gas storage tanks,2020-07
En_90_50_70,Storage buildings,En_90_50_80 Storage buildings,2021-01
En_90_50_71,Storage yards,SL_30_90_84 Storage yards,2018-01
En_90_50_96,Wastewater storage structures,En_50_75_96 Wastewater storage entities,2020-07
FI_20_35,GIS dataset (GD),FI_30_22 Data set (DS),2019-07
FI_20_80,Site instruction (SI),FI_20_40 Instruction (IN),2019-07
FI_40_75,Schedule or table (SH),FI_90_75 Schedule or table (SH),2019-10
