Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
Ro_30_10_43,30,10,43,,,Insurance consultant,,Ro_30_10_43 : Insurance consultant,,,,,
Ro_30_10_47,30,10,47,,,Legal consultant,,Ro_30_10_47 : Legal consultant,,,,,
Ro_30_10_65,30,10,65,,,Procurement manager,,Ro_30_10_65 : Procurement manager,,,,,
Ro_30_10_67,30,10,67,,,Project manager,00-05-20/160 Project Manager,Ro_30_10_67 : Project manager,,,,,
Ro_30_10_80,30,10,80,,,Specification consultant,,Ro_30_10_80 : Specification consultant,,,,,
Ro_30_10_85,30,10,85,,,Subcontractor,,Ro_30_10_85 : Subcontractor,,,,,
Ro_30_30,30,30,,,,Official roles,00-05-20/200 Statutory roles,Ro_30_30 : Official roles,,,,,
Ro_30_30_09,30,30,09,,,Building control officer,,Ro_30_30_09 : Building control officer,,,,,
Ro_30_30_16,30,30,16,,,Conservation officer,,Ro_30_30_16 : Conservation officer,,,,,
Ro_30_30_20,30,30,20,,,Development control officer,,Ro_30_30_20 : Development control officer,,,,,
Ro_30_30_22,30,30,22,,,Dispute resolution officer,,Ro_30_30_22 : Dispute resolution officer,,,,,
Ro_30_30_26,30,30,26,,,Environmental officer,,Ro_30_30_26 : Environmental officer,,,,,
Ro_30_30_27,30,30,27,,,Fire services officer,,Ro_30_30_27 : Fire services officer,,,,,
Ro_30_30_28,30,30,28,,,Fire risk assessor,,Ro_30_30_28 : Fire risk assessor,,,,,
Ro_30_30_29,30,30,29,,,Flood and coastal risk management officer,,Ro_30_30_29 : Flood and coastal risk management officer,,,,,
Ro_30_30_36,30,30,36,,,Heritage officer,,Ro_30_30_36 : Heritage officer,,,,,
Ro_30_30_42,30,30,42,,,Independent third-party assessor,,Ro_30_30_42 : Independent third-party assessor,,,,,
Ro_30_30_60,30,30,60,,,Party wall surveyor,,Ro_30_30_60 : Party wall surveyor,,,,,
Ro_30_30_65,30,30,65,,,Planning officer,,Ro_30_30_65 : Planning officer,,,,,
Ro_30_30_67,30,30,67,,,Principal contractor,00-05-20/210 Principal Contractor,Ro_30_30_67 : Principal contractor,,,,,
Ro_30_30_68,30,30,68,,,Principal designer,00-05-20/205 Principal Designer,Ro_30_30_68 : Principal designer,,,,,
Ro_30_40,30,40,,,,Supplier roles,,Ro_30_40 : Supplier roles,,,,,
Ro_30_40_36,30,40,36,,,Hardware vendor,,Ro_30_40_36 : Hardware vendor,,,,,
Ro_30_40_40,30,40,40,,,Importer,,Ro_30_40_40 : Importer,,,,,
Ro_30_40_54,30,40,54,,,Manufacturer,,Ro_30_40_54 : Manufacturer,,,,,
Ro_30_40_56,30,40,56,,,Nominated supplier,,Ro_30_40_56 : Nominated supplier,,,,,
Ro_30_40_79,30,40,79,,,Software vendor,,Ro_30_40_79 : Software vendor,,,,,
Ro_30_40_86,30,40,86,,,Supplier,,Ro_30_40_86 : Supplier,,,,,
Ro_30_50,30,50,,,,Team lead roles,00-05-20/115 Management and delivery roles,Ro_30_50 : Team lead roles,,,,,
Ro_30_50_04,30,50,04,,,Asset management lead,,Ro_30_50_04 : Asset management lead,,,,,
Ro_30_50_19,30,50,19,,,Construction lead,,Ro_30_50_19 : Construction lead,,,,,
Ro_30_50_25,30,50,25,,,Design lead,,Ro_30_50_25 : Design lead,,,,,
Ro_30_50_61,30,50,61,,,Operation lead,,Ro_30_50_61 : Operation lead,,,,,
Ro_30_50_69,30,50,69,,,Programme lead,,Ro_30_50_69 : Programme lead,,,,,
Ro_30_50_70,30,50,70,,,Project lead,,Ro_30_50_70 : Project lead,,,,,
Ro_30_50_90,30,50,90,,,Task team lead,,Ro_30_50_90 : Task team lead,,,,,
Ro_50,50,,,,,Design roles,00-05-20/250 Design roles,Ro_50 : Design roles,,,,,
Ro_50_10,50,10,,,,Building design roles,,Ro_50_10 : Building design roles,,,,,
Ro_50_10_01,50,10,01,,,Access consultant,,Ro_50_10_01 : Access consultant,,,,,
Ro_50_10_03,50,10,03,,,Architect,00-05-20/260 Architect,Ro_50_10_03 : Architect,,,,,
Ro_50_10_04,50,10,04,,,Architectural designer,,Ro_50_10_04 : Architectural designer,,,,,
Ro_50_10_05,50,10,05,,,Architectural technologist,,Ro_50_10_05 : Architectural technologist,,,,,
Ro_50_10_06,50,10,06,,,Augmented reality designer,,Ro_50_10_06 : Augmented reality designer,,,,,
Ro_50_10_08,50,10,08,,,Building envelope consultant,,Ro_50_10_08 : Building envelope consultant,,,,,
Ro_50_10_10,50,10,10,,,Building designer,,Ro_50_10_10 : Building designer,,,,,
Ro_50_10_11,50,10,11,,,Catering consultant,,Ro_50_10_11 : Catering consultant,,,,,
Ro_50_10_14,50,10,14,,,Cladding designer,,Ro_50_10_14 : Cladding designer,,,,,
Ro_50_10_29,50,10,29,,,Facade engineer,,Ro_50_10_29 : Facade engineer,,,,,
Ro_50_10_30,50,10,30,,,"Fittings, furniture and equipment (FF&E) consultant",,"Ro_50_10_30 : Fittings, furniture and equipment (FF&E) consultant",,,,,
Ro_50_10_42,50,10,42,,,Inclusive design engineer,,Ro_50_10_42 : Inclusive design engineer,,,,,
Ro_50_10_43,50,10,43,,,Interior designer,,Ro_50_10_43 : Interior designer,,,,,
Ro_50_10_44,50,10,44,,,Interpretive planner,,Ro_50_10_44 : Interpretive planner,,,,,
Ro_50_10_45,50,10,45,,,Kitchen designer,,Ro_50_10_45 : Kitchen designer,,,,,
Ro_50_10_50,50,10,50,,,Lighting designer,,Ro_50_10_50 : Lighting designer,,,,,
Ro_50_10_80,50,10,80,,,Signage designer,,Ro_50_10_80 : Signage designer,,,,,
