Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
EF_70_30_45,70,30,45,,,Low-voltage electricity distribution,,EF_70_30_45 : Low-voltage electricity distribution,,,IfcDistributionSystemType.ELECTRICAL,IfcDistributionSystemType.ELECTRICAL,
EF_70_30_50,70,30,50,,,Medium-voltage electricity distribution,,EF_70_30_50 : Medium-voltage electricity distribution,,,IfcDistributionSystemType.ELECTRICAL,IfcDistributionSystemType.ELECTRICAL,
EF_70_30_60,70,30,60,,,Overhead line traction power distribution,,EF_70_30_60 : Overhead line traction power distribution,,,IfcDistributionSystemType.OVERHEAD_CONTACTLINE_SYSTEM,IfcDistributionSystemType.OVERHEAD_CONTACTLINE_SYSTEM,
EF_70_30_80,70,30,80,,,Small power supply,,EF_70_30_80 : Small power supply,,,IfcDistributionSystemType.ELECTRICAL,IfcDistributionSystemType.ELECTRICAL,
EF_70_30_90,70,30,90,,,Conductor rail traction power distribution,,EF_70_30_90 : Conductor rail traction power distribution,,,,,
EF_70_80,70,80,,,,Lighting,,EF_70_80 : Lighting,,,,,
EF_70_80_01,70,80,01,,,Aeronautical lighting,,EF_70_80_01 : Aeronautical lighting,,,IfcDistributionSystemType.LIGHTING,IfcDistributionSystemType.LIGHTING,
EF_70_80_25,70,80,25,,,External lighting,,EF_70_80_25 : External lighting,,,IfcDistributionSystemType.LIGHTING,IfcDistributionSystemType.LIGHTING,
EF_70_80_33,70,80,33,,,General space lighting,,EF_70_80_33 : General space lighting,,,IfcDistributionSystemType.LIGHTING,IfcDistributionSystemType.LIGHTING,
EF_75,75,,,,,"Communications, security, safety and protection functions",,"EF_75 : Communications, security, safety and protection functions",,,,,
EF_75_10,75,10,,,,Communication,,EF_75_10 : Communication,,,,,
EF_75_10_21,75,10,21,,,Data distribution and telecommunications,,EF_75_10_21 : Data distribution and telecommunications,,,IfcDistributionSystemType.COMMUNICATION,IfcDistributionSystemType.COMMUNICATION,
EF_75_10_68,75,10,68,,,Public communications,,EF_75_10_68 : Public communications,,,IfcDistributionSystemType.COMMUNICATION,IfcDistributionSystemType.COMMUNICATION,
EF_75_10_70,75,10,70,,,Radio and television distribution,,EF_75_10_70 : Radio and television distribution,,,IfcDistributionSystemType.COMMUNICATION,IfcDistributionSystemType.COMMUNICATION,
EF_75_10_72,75,10,72,,,Emergency communications,,EF_75_10_72 : Emergency communications,,,IfcDistributionSystemType.COMMUNICATION,IfcDistributionSystemType.COMMUNICATION,
EF_75_30,75,30,,,,Signalling,,EF_75_30 : Signalling,,,,,
EF_75_30_35,75,30,35,,,Road signals and controls,,EF_75_30_35 : Road signals and controls,,,IfcDistributionSystemType.SIGNAL,IfcDistributionSystemType.SIGNAL,
EF_75_30_50,75,30,50,,,Marine signals,,EF_75_30_50 : Marine signals,,,IfcDistributionSystemType.SIGNAL,IfcDistributionSystemType.SIGNAL,
EF_75_30_70,75,30,70,,,Rail signals and controls,,EF_75_30_70 : Rail signals and controls,,,IfcDistributionSystemType.SIGNAL,IfcDistributionSystemType.SIGNAL,
EF_75_30_90,75,30,90,,,Tramway signals,,EF_75_30_90 : Tramway signals,,,IfcDistributionSystemType.SIGNAL,IfcDistributionSystemType.SIGNAL,
EF_75_30_97,75,30,97,,,Waterway signals,,EF_75_30_97 : Waterway signals,,,IfcDistributionSystemType.SIGNAL,IfcDistributionSystemType.SIGNAL,
EF_75_40,75,40,,,,Security,,EF_75_40 : Security,,,,,
EF_75_40_02,75,40,02,,,Access control,,EF_75_40_02 : Access control,,,IfcDistributionSystemType.SECURITY,IfcDistributionSystemType.SECURITY,
EF_75_40_53,75,40,53,,,Monitoring,,EF_75_40_53 : Monitoring,,,IfcDistributionSystemType.SECURITY,IfcDistributionSystemType.SECURITY,
EF_75_40_73,75,40,73,,,Security screening,,EF_75_40_73 : Security screening,,,IfcDistributionSystemType.SECURITY,IfcDistributionSystemType.SECURITY,
EF_75_40_75,75,40,75,,,Security detection and alarms,,EF_75_40_75 : Security detection and alarms,,,IfcDistributionSystemType.SECURITY,IfcDistributionSystemType.SECURITY,
EF_75_50,75,50,,,,Safety and protection,,EF_75_50 : Safety and protection,,,,,
EF_75_50_28,75,50,28,,,Fire and smoke detection and alarms,,EF_75_50_28 : Fire and smoke detection and alarms,,,IfcDistributionSystemType.MONITORINGSYSTEM,IfcDistributionSystemType.MONITORINGSYSTEM,
EF_75_50_33,75,50,33,,,Gas detection and alarms,,EF_75_50_33 : Gas detection and alarms,,,IfcDistributionSystemType.MONITORINGSYSTEM,IfcDistributionSystemType.MONITORINGSYSTEM,
EF_75_50_50,75,50,50,,,Liquid detection and alarms,,EF_75_50_50 : Liquid detection and alarms,,,IfcDistributionSystemType.MONITORINGSYSTEM,IfcDistributionSystemType.MONITORINGSYSTEM,
EF_75_50_60,75,50,60,,,Patient monitoring and telemetry,,EF_75_50_60 : Patient monitoring and telemetry,,,IfcDistributionSystemType.MONITORINGSYSTEM,IfcDistributionSystemType.MONITORINGSYSTEM,
EF_75_60,75,60,,,,Environmental safety,,EF_75_60 : Environmental safety,,,,,
EF_75_70,75,70,,,,Control and management,,EF_75_70 : Control and management,,,,,
EF_75_70_52,75,70,52,,,Mechanical engineering services control and management,,EF_75_70_52 : Mechanical engineering services control and management,,,IfcDistributionSystemType.CONTROL,IfcDistributionSystemType.CONTROL,
EF_75_70_54,75,70,54,,,"Metering, monitoring and management",,"EF_75_70_54 : Metering, monitoring and management",,,IfcDistributionSystemType.CONTROL,IfcDistributionSystemType.CONTROL,
EF_75_70_85,75,70,85,,,Structural monitoring,,EF_75_70_85 : Structural monitoring,,,IfcDistributionSystemType.CONTROL,IfcDistributionSystemType.CONTROL,
EF_75_70_90,75,70,90,,,Transport management,,EF_75_70_90 : Transport management,,,IfcDistributionSystemType.CONTROL,IfcDistributionSystemType.CONTROL,
EF_75_70_96,75,70,96,,,Water supply and wastewater control,,EF_75_70_96 : Water supply and wastewater control,,,IfcDistributionSystemType.CONTROL,IfcDistributionSystemType.CONTROL,
EF_75_80,75,80,,,,Protection,,EF_75_80 : Protection,,,,,
EF_80,80,,,,,Transport functions,,EF_80 : Transport functions,,,,,
EF_80_10,80,10,,,,Cable transport,,EF_80_10 : Cable transport,,,,,
EF_80_20,80,20,,,,Conveyors,,EF_80_20 : Conveyors,,,,,
EF_80_30,80,30,,,,Cranes and hoists,,EF_80_30 : Cranes and hoists,,,,,
EF_80_50,80,50,,,,Lifts,,EF_80_50 : Lifts,,,,,
EF_80_50_34,80,50,34,,,Goods lifts,,EF_80_50_34 : Goods lifts,,,,,
EF_80_50_62,80,50,62,,,Personnel lifts,,EF_80_50_62 : Personnel lifts,,,,,
EF_80_50_95,80,50,95,,,Vehicular lifts,,EF_80_50_95 : Vehicular lifts,,,,,
EF_80_70,80,70,,,,Rail tracks,,EF_80_70 : Rail tracks,,,,,
EF_82,82,,,,,Vehicle functions,,EF_82 : Vehicle functions,,,,,
EF_82_70,82,70,,,,Rolling stock,,EF_82_70 : Rolling stock,,,,,
EF_85,85,,,,,Process engineering,,EF_85 : Process engineering,,,,,
EF_85_30,85,30,,,,General processes,,EF_85_30 : General processes,,,,,
EF_85_45,85,45,,,,Manufacturing processes,,EF_85_45 : Manufacturing processes,,,,,
EF_85_50,85,50,,,,Mechanical power,,EF_85_50 : Mechanical power,,,,,
EF_85_72,85,72,,,,Robotics,,EF_85_72 : Robotics,,,,,
